1 4	1 Abortus
3238 1	3330 "Bronchopneumonia post tussis convulsiva"
3239 1	3331 "Cancer columnae et hepatis"
3240 5	3332 "Cancer disseminatus abdominis"
3241 2	3333 "Cancer glandulae thyreoideae"
3242 1	3334 "Cancer oculi"
3243 1	3335 "Cancer oesophagi et pancreatis"
3244 1	3336 "Caries partis petrosae"
3245 2	3337 "Degeneratio myocardii et organorum omnium"
3246 1	3338 "Dilatatio ventriculi"
3247 1	3339 "Fibromyoma uteri gravidi"
3248 1	3340 "Formentlig blodforgiftning"
3249 1	3341 "Formentlig hæmoptysis"
3250 1	3342 "Formentlig kommet til skade"
3251 1	3343 "Fractura costarum"
3252 1	3344 Gigtcachexia
3253 2	3345 Graviditas
3254 3	3346 "Gummata hepatis"
3255 1	3347 "Haemorrhagia in operatione"
3256 2	3348 "Haemorrhagia venae cruralis"
3257 1	3349 "Ileus incompleta"
3258 7	3350 "Kontusion af skinneben"
3259 1	3351 "Laryngitis suffocans"
3260 2	3352 "Laryngitis tuberculosa"
3261 1	3353 "Let gastroenteritis"
3262 1	3354 "Levende abort"
3263 1	3355 Lungecongestion
3264 1	3356 "Metastaser efter cancer mammae"
3265 0	3357 "Oedema cruris (Ødema cruris)"
3266 1	3358 "Oedema universalis (Ødema universalis)"
3267 6	3359 "Omphalorrhagia (Omfaloragi)"
3268 1	3360 "Peritonitis e perforatione vesicae fellae"
3269 1	3361 "Peritonitis post sectionem caesaream"
3270 3	3362 "Phlebitis extr. inf."
3271 1	3363 "Praematurus natus"
3272 1	3364 "Prolapsus umbilicalis"
3273 1	3366 Sarcomata
3274 1	3367 "Sclerosis disseminata cerebrospinalis"
3275 1	3368 "Thrombosis venae"
3276 2	3369 "Tuberculosis generalis"
3277 1	3370 "Tuberculosis miliaris in palato"
3278 2	3371 "Tuberculosis renum et vesicae magnu gradu"
3279 1	3372 "Ulcus intestinalis"
3280 3	3373 "Ulcus perforatum"
3281 3	3374 "Underlivsbetændelse i barselssengen"
3282 3	3375 "Vulnus capitis"
3283 1	3376 Acholia
3284 1	3377 "Betændelse i knæet"
3285 1	3378 "Bristning af indvendigt organ"
3286 1	3379 Børnetæring
3287 1	3380 "Degeneratio amyloides renum"
3288 1	3381 "Eklampsi under fødslen"
3289 1	3382 "Febris nervosa abdominalis"
3290 1	3383 "Forblødning i bughulen"
3291 1	3384 "Formentlig trismus"
3292 1	3385 "Fracturae variae"
3293 3	3386 "Hjerneatrofi (Hjerneatrophie)"
3294 1	3387 "Leptomeningitis chronica"
3295 1	3388 "Phlegmone pelvis"
3296 4	3389 "Pleuritis chron."
3297 1	3390 Pyuria
3298 1	3391 "Thrombosis sinus transversi"
3299 3	3392 "Abscessus congestus"
3300 3	3393 "Abscessus subphrenicus ex ulcere ventriculi perforat."
3301 1	3394 "Adenitis cruralis"
3302 1	3395 "Akut hæmoptyse"
3303 1	3396 "Ambustio faciei et manu sin."
3304 1	3397 "Anaemia post influenza"
3305 1	3398 "Anaemia post operationem"
3306 1	3399 "Anaemia universalis"
3307 1	3400 "Angina crouposa"
3308 1	3401 "Betændelse i hjertesækken (hjerteposen)"
3309 2	3402 "Bronchitis morbillosa"
3310 1	3403 "Bronchopneumonia dext. post fracturam colli femoris"
3311 1	3404 Børnekolera
3312 1	3405 "Cancer colli et faciei"
3313 1	3406 "Cancer genae"
3314 1	3407 "Cancer mesenterialis"
3315 3	3408 "Cancer recti cum perforatione"
3316 1	3409 "Cancer testiculi dext. et regionis inguinalis dext."
3317 3	3410 "Carbunculus labii sup."
3318 3	3411 "Cellulitis pelvis "
3319 3	3412 "Cholerine infantum"
3320 1	3413 "Collapsus post partum"
3321 1	3414 "Eclampsia in hydrocephalus acutus"
3322 1	3415 "Embolia arteriae popliteae"
3323 2	3416 "Encephalitis in senilitate"
3324 1	3417 "Encephalitis post influenza"
3325 1	3418 Encephalomalacia
3326 1	3419 "Enteritis tuberculosa"
3327 3	3420 "Fedtembolier i hjernen, lungerne og hjertet"
3328 2	3421 "Formentlig hjerteslag"
3329 1	3422 "Formentlig tuberkulose"
3330 3	3423 "Fractura cranii et vertebrae colli"
3331 1	3424 "Fractura vertebrae colli"
3332 1	3425 "Gangraena embolica pedum"
3333 1	3426 "Gangraena senilis pedis sin."
3334 2	3427 "Gastromalacia infantum"
3335 1	3428 "Haemorrhagia interna e ruptura hepatis"
3336 1	3429 "Haemorrhagia post graviditatem"
3337 1	3430 Hypochondria
3338 3	3431 "Hysteria (Hysteri)"
3339 1	3432 "Indvendig incarceration"
3340 1	3433 "Infarctus pulmonum et renum"
3341 1	3434 "Klimatfeber (gl.)"
3342 1	3435 Kloakforgiftning
3343 8	3436 "Kontusioner med fraktur af ansigtet og hovedets knogler"
3344 1	3437 "Kronisk nyrelidelse "
3345 4	3438 "Kronisk suppurativ betændelse i knæleddet"
3346 1	3439 "Kronisk underlivsbetændelse"
3347 1	3440 "Kræft i øjet"
3348 1	3441 "Lungeemboli in puerperio"
3349 2	3442 "Lymphaemia  (Lymphæmi)"
3350 1	3443 "Længsel efter en afdød kæreste"
3351 1	3444 "Mangelfuld trivsel"
3352 5	3445 Mavesvaghed
3353 1	3446 "Medfødt åndssvaghed"
3354 2	3447 "Meningitis spinalis purulenta"
3355 2	3448 "Morbus medullae spinalis"
3356 1	3449 "Nephritis chron. Interstitialis cum uraemia"
3357 1	3450 "Neuritis optica"
3358 4	3451 Nyreinflammation
3359 2	3452 "Oedema extremitatis inf."
3360 1	3453 "Osteomyelitis humeri acut."
3361 1	3454 "Otitis media chron. supp."
3362 6	3455 "Parotitis metastatica"
3363 1	3456 "Partus ante tempus (Partus a.t.)"
3364 1	3457 "Perforatio vesicae"
3365 0	3458 "Peritonitis e hernia gangaenosa"
3366 2	3459 "Phlebitis extrem. inf. duplex"
3367 1	3460 "Phlegmone gangraenosa natium"
3368 2	3461 "Phthisis tuberculosa pulmonum"
3369 1	3462 "Polyencephalitis superior"
3370 1	3463 "Pylephlebitis suppurativa"
3371 1	3464 "Sarcoma metastatica pulmonum"
3372 2	3465 "Sarcoma testis"
3373 1	3466 "Scirrhus intestinorum"
3374 1	3467 "Sepsis post operationem (Sepsis p. op.)"
3375 1	3468 "Sequelae febris rheumaticae"
3376 1	3469 "Stærk åndenød på grund af svulst af bronkialkirtlerne"
3377 3	3470 "Tarm- og brystkatar"
3378 1	3471 "Tuberculosis pericardii"
3379 2	3473 "Tuberkuløs benbetændelse"
3380 3	3475 "Tumor scirrhosus abdominis"
3381 1	3476 "Ulcera crurum"
3382 1	3477 "Ulcus cancrosum vulvae"
3383 1	3478 "Ulcus perforans"
3384 2	3479 Underlivsvattersot
3385 2	3480 "Volvulus sigmoidei romani (Volvulus S. romani)"
3386 2	3481 "Wertheims operation"
3387 2	3482 "Abscessus laryngis"
3388 3	3483 "Affection abdominis"
3389 2	3484 "Akut alkoholisme"
3390 1	3485 "Akut laryngostenose"
3391 1	3486 "Auto-intoxicatio in enteritis"
3392 4	3487 "Cardialia (Cardiaca)"
3393 1	3488 "Cystitis septica"
3394 1	3489 "Degenerativ paralysis cordis"
3395 1	3490 "Dystrophia organica ventriculi"
3396 1	3491 "Forhærdelse i maven"
3397 1	3492 "Formentlig trauma under fødslen"
3398 1	3493 "Graviditas tubaria"
3399 1	3494 "Haemorrhagia et contusio cordis"
3400 3	3495 Hjernevattersot
3401 4	3496 "Inflammation i blæren"
3402 2	3497 Knudegigt
3403 1	3498 "Knust mellem 2 dampskibe"
3404 1	3499 "Koldbrand i fødderne"
3405 1	3500 "Kræft i pancreas og milt"
3406 2	3501 "Kvælning under fødslen"
3407 1	3502 Livmoderbetændelse
3408 1	3503 Mavetilfælde
3409 1	3504 "Metastasis hepatis"
3410 1	3505 "Morbus cutaneus"
3411 1	3506 "Ondartet halssyge"
3412 5	3507 "Osteitis humeri et femoris"
3413 1	3508 "Otitis duplex chron."
3414 1	3509 "Sarcoma reg. submaxillae"
3415 1	3510 "Spasmi in dentitione"
3416 1	3511 "Spondylitis tuberculosa cervicalis"
3417 1	3512 "Tuberculosis genus dext."
3418 3	3513 Ubestemmelig
3419 4	3514 "Universel paralyse"
3420 1	3515 "Akut leveraffektion"
3421 4	3516 "Aneurysma aortae perforat."
3422 2	3517 "Atonia uteri"
3423 1	3518 "Fraktur af hovedets ben"
3424 1	3519 "Gentagen hæmoptyse"
3425 1	3520 Gift
3426 1	3521 "Haemorrhagia post partum"
3427 1	3522 "Kronisk ovariesvulst"
3428 1	3523 Kulde
3429 1	3524 "Langvarig hoste"
3430 1	3525 Lymfekirtelsvulst
3431 1	3526 "Medfødt misdannelse af spiserøret"
3432 2	3527 "Morbus cordis et pulmonum"
3433 1	3528 "Myelopathia spinalis"
3434 1	3529 "Phlebitis extrem. inf. sin."
3435 1	3530 "Phlebitis extrem. sup."
3436 1	3531 "Phlegmone på halsen"
3437 1	3532 "Phlegmone submaxillaris"
3438 1	3533 "Pneumonia crouposa totalis dext."
3439 5	3534 "Pneumonia lobularis sup. dext."
3440 1	3535 "Sclerema neonatorum"
3441 1	3536 "Ulcus cruris chron."
3442 2	3537 "Ægteskabelige stridigheder"
3443 1	3538 "Aksedrejning af S romanum (Sigmoideum)"
3444 1	3539 "Sequelae influenzae  (Influenza seq.)"
3445 1	3540 "Formentlig hjernerystelse"
3446 1	3541 "Mave- og leverkræft"
3447 1	3542 "Morbus organicus cerebri"
3448 2	3543 "Nephrolithiasis duplex"
3449 1	3544 "Perforatio cranii"
3450 2	3545 "Ufuldstændig respiration"
3451 1	3546 "Vulnus perforans"
3452 1	3547 "Akut lungelidelse"
3453 1	3548 "Brud af rygraden"
3454 3	3549 "Ileus post operationem"
3455 1	3550 "Kronisk bensår"
3456 1	3551 Lymphosarcomata
3457 1	3552 "Metrorrhagia post partum"
3458 1	3553 "Morbus cordis et renalis"
3459 3	3554 "Åbent brud af næseben"
3460 1	3555 "Abscessus processus mastoidei "
3461 5	3556 "Akut ledde-rheumatisme med hjernekomplikationer"
3462 1	3557 "Ambustio pedis"
3463 2	3558 Ammoniakforgiftning
3464 1	3559 "Angina catarrhalis"
3465 3	3560 "Angina faucium"
3466 1	3561 "Aortitis syphilitica"
3467 1	3562 "Apoplexia intra partum"
3468 3	3563 "Appendicitis cum perforatione"
3469 1	3564 "Arteriosclerosis in senectute"
3470 1	3565 "Benedder i foden"
3471 1	3566 "Bronchitis med astmaanfald"
3472 0	3567 "Cachexia cancrosa"
3473 1	3568 "Cancer abdominis et retroperitonealis"
3474 0	3569 "Cancer coli cum perforatione"
3475 1	3570 "Cancer oesophagi cum perforatione in bronchia"
3476 1	3571 "Cancer ventriculi et abdom."
3477 1	3572 "Cancer vesicae felleae et hepatis et omenti"
3478 3	3573 Cerebralrheumatisme
3479 2	3574 "Commotio cerebri post contusionem"
3480 2	3575 "Contusio thoracis"
3481 1	3576 Crampi
3482 2	3577 "Degeneratio organorum"
3483 1	3578 "Diphteria (Diphteritis) faucium et laryngis et tracheae"
3484 1	3579 "Eclampsia neonatorum"
3485 1	3580 "Febris gastrica acuta"
3486 1	3581 "Formentlig delirium tremens"
3487 2	3582 "Formentlig emboli"
3488 1	3583 "Formentlig scarlatina i udbrud"
3489 1	3584 "Fractura et luxatio humeri dext."
3490 1	3585 "Gangraena pedis senilis"
3491 1	3586 "Hjertesygdom efter gigtfeber"
3492 1	3587 "Hydrops universalis congenita"
3493 1	3588 "Hængning, antagelig ved leg"
3494 1	3589 Incarceratio
3495 5	3590 "Kronisk lunge- og nyresygdom"
3496 1	3591 Lungeinfarkt
3497 2	3592 Lungeslag
3498 1	3593 Lungesvaghed
3499 1	3594 "Læsion i baghovedet"
3500 1	3595 "Medfødt mangel på endetarmsåbning"
3501 2	3596 "Melanosarcoma (Melanosarkom)"
3502 1	3597 Mord
3503 1	3598 "Nephritis diffusa"
3504 2	3599 "Nephritis gravidarum (Nephritis in graviditate)"
3505 1	3600 "Nephritis post scarlatina"
3506 14	3601 "Oedema duplex"
3507 1	3602 "Oedema pedum"
3508 1	3603 Oesophagostomi
3509 1	3604 "Osteosarcoma columnae vertebralis"
3510 1	3605 "Osteosarcoma ilii"
3511 1	3606 "Paralysis pulmonum"
3512 1	3607 "Paraparesis (Paraparese)"
3513 3	3608 "Peritonitis diffusa purulenta"
3514 1	3609 "Phthisis pulmonum in puerperio"
3515 1	3610 "Pludselig død efter kort sygeleje"
3516 2	3611 "Pludselig eklampsi"
3517 1	3612 "Pneumonia cerebralis"
3518 1	3613 "Pneumonia chron. post influenza"
3519 1	3614 "Prurigo hebrae"
3520 1	3615 "Pseudohypertrophia muscularis"
3521 2	3616 Pyodermi
3522 1	3617 "Sclerosis disseminata"
3523 1	3618 "Arrestation (Skam over arrestation)"
3524 1	3619 "Steatosis hepatis"
3525 1	3620 "Strictura traumatica urethrae"
3526 1	3621 "Thrombose af underekstremitet"
3527 1	3622 "Tuberculosis chron."
3528 1	3623 "Tuberculosis duplex"
3529 2	3624 "Tuberculosis pleurae"
3530 1	3625 "Ulcus gangraenosum palati"
3531 1	3626 "Urinretention med uræmi"
3532 1	3627 "Varices oesophagi cum haemorrhagia magna"
3533 2	3628 "Vulnus digiti"
3534 1	3629 "Anæmi under fødslen"
3535 1	3630 "Atrophia cordis"
3536 1	3631 "Atrophia muscularis extremitatum"
3537 1	3632 "Betændelse i hvirvelsøjlen"
3538 1	3633 "Cachexia alcoholica"
3539 2	3634 "Cancer maxillae superior dext."
3540 1	3635 "Cancer pleurae dext."
3541 6	3636 "Cancer uteri et recti"
3542 3	3637 "Cerebralia acuta in enteritide (enteritis)"
3543 1	3638 "Deciduoma malignum"
3544 1	3639 "Decubitus natium"
3545 3	3640 "Embolia post partum praematurum"
3546 1	3641 "Encephalitis chron."
3547 1	3642 "Enteritis subacuta"
3548 2	3643 "Erysipelas cruris dext."
3549 1	3644 "Febris completa"
3550 2	3645 "Febris gravis"
3551 2	3646 "For svag blodcirkulation"
3552 3	3647 "Formentlig debilitas congenita"
3553 1	3648 "Gangraena in diabetes mellitus  "
3554 1	3649 "Hernia umbilicalis"
3555 1	3650 Hudgangræn
3556 1	3651 "Høj grad af skoliokyfose "
3557 1	3652 Ihjelkørsel
3558 2	3653 "Invaginatio ilei"
3559 1	3654 "Morbus abdominis"
3560 2	3655 "Oedema extremitatis inf. dext."
3561 1	3656 "Organisk rygmarvssygdom"
3562 1	3657 "Paralysis bulbaris ascendens"
3563 1	3658 Pediculosis
3564 1	3659 "Periencephalitis chron."
3565 1	3660 "Pharyngo-tracheo bronchitis"
3566 1	3661 "Phlebitis sinus durae matris"
3567 2	3662 "Pneumonia crouposa in puerperio"
3568 1	3663 Sarcoma?
3569 1	3664 "Sarcoma maxillae sin."
3570 1	3665 "Sarcoma multiplex"
3571 4	3666 "Sarcoma tracheae"
3572 1	3667 "Sarcomatosis cutis"
3573 1	3668 "Sequelae tuberculosis pulmonum"
3574 1	3669 "Shock post ovariotomiam"
3575 2	3670 "Thrombosis extrem. inf. "
3576 1	3671 Åndssvag
3577 1	3672 "Abscessus mediastini"
3578 1	3673 "Akut mavekatar"
3579 2	3674 "Bronchopneumonia post morbilli"
3580 1	3675 "Coxitis cum abscesso congest."
3581 2	3676 "Druknet ved oversejling"
3582 4	3677 "Død under operation"
3583 1	3678 "Erysipelas auris"
3584 1	3679 "Formentlig Bronchitis capillaris in Rachitis"
3585 3	3680 "Formentlig brysttæring"
3586 1	3681 "Formentlig lungebetændelse"
3587 1	3682 "Formodet svulst inden for brystkassen"
3588 1	3683 "Fractura cruris complicata"
3589 3	3684 "Kræft i strube og spiserør"
3590 1	3685 "Laryngospasmus (Laryngospasmer)"
3591 2	3686 "Luxatio incompleta"
3592 1	3687 "Peritonitis e perforatione post operationem"
3593 1	3688 "Peritonitis suppurativa diffusa"
3594 1	3689 "Pseudoleukaemia lienalis"
3595 1	3690 "Septisk tilfælde"
3596 1	3691 "Svulster i maven og leveren"
3597 1	3692 "Tumor parovarialis"
3598 3	3693 Underlivstilfælde
3599 6	3694 "Cachexia arthritica"
3600 1	3695 "Cystoma ovarii dext."
3601 1	3696 "Decubitus ossis sacri"
3602 2	3697 "Fibromyoma uteri"
3603 1	3698 "Formentlig for tidligt født"
3604 1	3699 "Haemorrhagia cerebri traumatica"
3605 1	3700 "Meningitis purulenta ex otitide"
3606 1	3701 "Morbus chr. renis"
3607 1	3702 "Morbus cordis acuta in chron. post ambustionem"
3608 1	3703 Vildelser
3609 1	3704 "Anaemia e placenta praevia"
3610 1	3705 "Astmatisk anfald"
3611 1	3706 "Cancer hepatis et pancreatis"
3612 1	3707 "Degeneratio amyloidea organorum"
3613 1	3708 "Ecthyma terebrans"
3614 1	3709 "Faldet (styrtet) ned ad en trappe"
3615 1	3710 "Formentlig hjernebetændelse"
3616 1	3711 "Lues hereditaria"
3617 2	3712 "Medfødt misdannelse  (Medfødt dannelsesfejl)"
3618 3	3713 "Medfødt misdannelse af kraniet"
3619 2	3714 "Nephritis haemorrhagica chron."
3620 1	3715 Nerveapoplexi
3621 1	3716 "Paralysis diphteritica"
3622 1	3717 Pneumatosis
3623 1	3718 "Pneumonia catarrhalis in morbilli"
3624 2	3719 "Prostatitis chron."
3625 1	3720 "Religiøst vanvid"
3626 1	3721 "Ruptura intestini c. peritonitis"
3627 1	3722 "Sarcoma maxillae inf. et sup."
3628 1	3723 "Sarcoma vesicae"
3629 1	3724 "Scirrhus abdominalis"
3630 1	3725 "Sequelae osteotomiae femoris"
3631 1	3726 "Sequelae perforationis proc. vermiformis"
3632 1	3727 "Sequelae senectutis (Sequelae senilitatis)"
3633 1	3728 "Spaltet gane"
3634 1	3729 "Thrombosis sin. cerebralium"
3635 1	3730 "Tuberculosis pulmonum et ossium et intestini"
3636 2	3731 "Tumor cysticus ovarii operat."
3637 1	3732 "Abscessus intraperitonealis"
3638 1	3733 "Ambustio dorsi"
3639 1	3734 "Betændelse i underlivet"
3640 1	3735 "Deliria dyshaemica"
3641 6	3736 "Fald ved omkastning af net"
3642 4	3737 "Gangraena senilis extremitatum Inf."
3643 1	3738 Gibbositas
3644 1	3739 "Hæmatom og vulnera capitis efter tangforløsning"
3645 1	3740 "Kapillær katar (Capillær Catarrh)"
3646 1	3741 "Kvælning ved forslugning"
3647 1	3742 Luftrørsbetændelse
3648 1	3743 "Metastase ved hjernen"
3649 2	3744 "Morbus chron. hepatis"
3650 1	3745 "Mors subitanea in hæmoptyse"
3651 1	3746 "Osteomyelitis ulnae"
3652 1	3747 "Pancreatitis chron."
3653 4	3748 "Paralysis cordis post operationem"
3654 3	3749 "Phlebitis suppurativa"
3655 1	3750 "Phlegmone cruris"
3656 1	3751 "Pneumonia capillaris"
3657 2	3752 "Recidiv efter extirpation af en sarcomatøs nyre"
3658 1	3753 Rygmarvsaffektion
3659 2	3754 "Slugt en ballon"
3660 1	3755 "Strictura (Strictur)"
3661 1	3757 "Athrepsia (Atrepsi)"
3662 4	3758 "Obliteratio tractus intestinalis"
3663 1	3759 Rygmarvsvandsot
3664 1	3760 "Tuberculosis miliaris acuta pulmonum"
3665 1	3761 "Ubekendt, muligvis diarré"
3666 1	3762 "Adenitis axillaris"
3667 1	3763 "Anaemia acuta post metrorrhagiam"
3668 1	3764 "Apoplexia in senilitate"
3669 1	3765 "Arteriosclerosis pedis utr."
3670 2	3766 "Atheromatosis cordis"
3671 1	3767 "Bronchiectasia acuta"
3672 1	3768 "Bronchitis hypostatica"
3673 2	3769 "Bronchitis in debilitate senilis"
3674 8	3770 "Brud af nakkebenet og rygraden"
3675 2	3771 "Cancer mammae operat."
3676 1	3772 "Cancer pharyngis et palati et colli"
3677 2	3773 "Caries ossis temporalis"
3678 1	3774 "Chorea senilis (Senil chorea)"
3679 1	3775 "Contusio corporis"
3680 1	3776 "Contusio coxae sin."
3681 2	3777 "Cystitis suppurativa"
3682 1	3778 "Diphteria nasi"
3683 1	3779 "Embolia arteriae femoralis"
3684 1	3780 "Emollitio cerebri chron."
3685 3	3781 "Emphysema pulmonum c. bronchit."
3686 1	3782 "Endocarditis aortae"
3687 1	3783 "Epilepsia alcoholica "
3688 1	3785 "Formentlig phlegmone af hånd og arm"
3689 1	3786 "Fraktur af overekstremiteter"
3690 1	3787 "Gangraena cruris et pedis dext."
3691 1	3788 "Haemorrhagia ventriculi p.p."
3692 1	3789 "Icterus catarrrhalis"
3693 5	3790 "Karforandring i hjernen"
3694 1	3791 "Kronisk blyforgiftning"
3695 1	3792 "Kronisk sygdom som følge af absces"
3696 1	3793 "Lammelse af åndedrættet"
3697 4	3794 "Lymphoma maligna colli"
3698 1	3795 "Marasmus arthrit"
3699 1	3796 "Medfødt misdannelse af tyndtarmen"
3700 3	3797 Mellituri
3701 1	3798 "Meningitis ex otitide chron."
3702 1	3799 "Metastaser til hepar, glandula suprarenalis og pericardium"
3703 1	3800 "Metastases medullae et lumb."
3704 1	3801 "Myocarditis cum pneumonia hypostatica et oedemata"
3705 1	3802 "Nekrose af bækkenet"
3706 2	3803 "Nephritis deformans"
3707 5	3804 "Nephritis suppurativa chron."
3708 1	3805 "Phlegmone diffusa thoracis"
3709 5	3806 "Phlegmone humeri dext."
3710 1	3807 "Phlegmone retropharyngea"
3711 1	3808 "Pleuritis haemorrhagica"
3712 6	3809 "Pleuropneumonia inf."
3713 1	3810 "Pneumonia fibrosa sin."
3714 1	3811 "Pneumonia gangraenosa"
3715 1	3812 "Pneumonia septica"
3716 2	3813 "Pneumonia suppurativa sin. (Pneumonia sup. sin.)"
3717 3	3814 "Rachitis sequelae"
3718 1	3815 "Sarcoma nasi"
3719 1	3816 "Selvmord ved kulilteforgiftning"
3720 1	3817 "Sequelae osteosarcomat. femoris"
3721 1	3818 "Torsio mesenterii"
3722 1	3819 "Tuberculosis organorum"
3723 1	3820 "Tuberculosis pulmonum et faucium"
3724 2	3821 "Tuberculosis pulmonum et intestini et peritonei"
3725 1	3822 "Tumor colli"
3726 1	3823 "Ulcus cancrosum cruris"
3727 3	3824 "Ulcus cancrosum mammae"
3728 2	3825 "Akut parenchymatitis"
3729 1	3826 "Appendicitis, sequelae (Sequelae appendicit.)"
3730 1	3827 "Cancer brachii et axill."
3731 1	3828 "Cancer disseminatus post exstirpationem"
3732 1	3829 "Cerebralia cum morte subitanea in spasmus glottidis"
3733 1	3830 "Cholelithiasis hepatis"
3734 1	3831 "Eclampsia in pertussis"
3735 1	3832 Emaciatio
3736 1	3833 "Enorm svulst"
3737 3	3834 "Febris carosa "
3738 1	3835 "Forkalkning af koronararterierne"
3739 1	3836 "Fractura metatarsi"
3740 1	3837 "Gangraena vesicae post cystotomiam"
3741 1	3838 "Haemorrhagia vesicae fell."
3742 1	3839 "Hemiplegia post apoplexia cerebri"
3743 1	3840 "Knust af lokomotiv"
3744 1	3841 "Kronisk tarmsår"
3745 1	3842 "Kræft i brystet og maven"
3746 1	3843 "Kræftsår i brystet"
3747 1	3844 Mavetæring
3748 1	3845 "Metastaser til pulmones efter osteosarcoma femoris dext."
3749 2	3846 "Metritis mala"
3750 1	3847 "Mors subitanea sine causa cognita"
3751 2	3848 "Palatum fissum complicatum"
3752 1	3849 "Paralysis cordis diphteritica"
3753 1	3850 "Paralysis post diphteriam"
3754 1	3851 "Phlebitis femoralis"
3755 3	3852 "Phlegmone diffusa extrem. inf."
3756 0	3853 "Phthisis pulmonum utriusque"
3757 2	3854 "Pneumonia in delir. trem."
3758 1	3855 "Pneumonia in diabetes mellitus"
3759 1	3856 "Scirrhus mesenterii"
3760 1	3857 "Septomeningitis ex otitide"
3761 1	3858 "Tetanus in amputatione cruris"
3762 1	3859 "Thrombosis aortae"
3763 1	3860 "Tuberculosis pulmonum et ossis femoris"
3764 1	3861 "Tuberculosis pulmonum et pleurae et peritonei"
3765 1	3862 "Tuberkuløs hjernebetændelse"
3766 3	3863 "Tumor hepatis et lienis lueticus"
3767 4	3864 "Tumor scrotalis"
3768 1	3865 "Åbent brud af pandeben"
3769 1	3866 "Akut pancreatitis"
3770 1	3867 "Cancer oesophagi cum perforatione tracheae"
3771 1	3868 "Cancer oesophagi cum stenose tracheae"
3772 1	3869 "Cancer ventriculi et coli transversi"
3773 2	3870 "Congelatio in ebrietate"
3774 1	3871 "Dræbt ved en murs nedstyrtning"
3775 1	3872 "Formentlig indtrængen af vand i luftvejene "
3776 1	3873 "Formentlig morbus chron. cordis"
3777 1	3874 "Haemorrhagia partis cerebri"
3778 1	3875 Hemichorea
3779 1	3876 "Hernia incarcerata duplex"
3780 1	3877 "Hjertesygdom (fødsel og barselseng)"
3781 6	3878 "Morbus cordis in morbo Basedowii"
3782 2	3879 "Mors subitanea in narcosi chloroformii"
3783 1	3880 "Ondartet kirtelsvulst"
3784 0	3881 "Organisk hjerte- og lungesygdom"
3785 1	3882 "Paralysis cerebri"
3786 1	3883 "Paralysis chron. extremitat. sup. sin."
3787 1	3884 "Pericarditis purulenta"
3788 1	3885 "Pludselig død i puerperiet"
3789 1	3886 "Pneumonia interstitialis"
3790 1	3887 "Rumperet aneurisme i brystet"
3791 1	3888 "Selvmord ved overskæring af pulsåre"
3792 1	3889 "Septicaemia post perforationem uteri et amputationem colli uteri"
3793 1	3890 "Sequelae resectionis ventriculi et coli"
3794 1	3891 "Svulst på halsen"
3795 1	3892 "Tuberculosis intestinalis et laryngis"
3796 1	3893 "Tuberculosis pulmonum et chron."
3797 2	3894 "Urogenital cancer"
3798 1	3895 "Abscessus perinephrit."
3799 1	3896 "Arthritis chron."
3800 1	3897 "Atrophia senilis"
3801 1	3898 "Bronchopneumonia inf."
3802 1	3899 "Bronchopneumonia post fracturam colli femoris"
3803 1	3900 "Byld på brystkassen"
3804 1	3901 "Cancer costarum"
3805 1	3902 "Cancer mammae et hepatis et renum et peritonei"
3806 1	3903 "Cancer testiculi et abdominis"
3807 1	3904 "Cancroid faciei"
3808 4	3905 "Eklamptiske anfald"
3809 1	3906 "Formentlig hjerte- og nyresygdom"
3810 1	3907 "Fractura pedis"
3811 3	3908 "Fractura spontanea ossis femoris sin."
3812 1	3909 Hovedsmerter
3813 1	3910 "Imperforatio ani"
3814 1	3911 "Infiltratio urinalis"
3815 1	3912 "Intoxicatio intestinalis acuta"
3816 1	3913 "Katarrhalsk febertilfælde"
3817 1	3914 "Kronisk mavebetændelse"
3818 2	3915 "Kræft i overkæben"
3819 3	3916 "Kræft i æggestokken (Æggestokskræft)"
3820 1	3917 "Kyphoscoliosis gravis"
3821 1	3918 "Nephritis acuta in vitio congenit. ducti choledochi"
3822 6	3919 "Nephritis interstitialis"
3823 1	3920 "Nephritis interstitialis chron."
3824 1	3921 "Nephrolithiasis cum pyonephrose dupl."
3825 1	3922 "Nephrotomia dupl."
3826 1	3923 "Obstruktion af tyndtarmen ved en galdesten"
3827 1	3924 "Pleuropneumonia inf. dext."
3828 1	3925 "Progressiv general paralyse"
3829 1	3926 "Pseudoleuchaemia glandularis"
3830 2	3927 Pystitis
3831 1	3928 "Suffocatio cordis"
3832 2	3929 "Tuberculosis pulmonum cavernosa dupl.  "
3833 1	3930 "Vulnera dilacerata manus"
3834 2	3931 "Organisk hjertelidelse"
3835 1	3932 "Cirrhosis hepatis acuta"
3836 1	3933 "Contunderet sår i hovedet"
3837 1	3934 "Depressio mentis"
3838 1	3935 "Gangraena extrem. inf. utriusque"
3839 1	3936 "Gangraena peritonei"
3840 1	3937 "Hernia inguinalis interna incarcerata"
3841 1	3938 "Kronisk ventrikelsår"
3842 1	3939 "Overrivning af rygmarvens halsdel"
3843 1	3940 "Pneumonia inf. dext."
3844 1	3941 "Pneumonia lobularis inf. dext."
3845 1	3942 "Pneumonia metastatica"
3846 1	3943 Pyometra
3847 1	3944 "Pyonephritis duplex"
3848 1	3945 "Striktur i ventriklen"
3849 1	3946 "Bronchopneumonia inf. dext."
